user,Survey,timestamp,age_group,location,status,endMonth_saves_money,money_goes_to,uses_budgeting_app,financial_emotions,out_of_control_when,budgeting_app_experience,motivation_use_budgeting_app,change_one_thing,open_to_interview,email
user_0,English Survey,2025-04-19,55–64,hastings,student,sometimes,"rent / mortgage, utilities & bills, loans or repayments",no,anxiety,every month,I've used ChatGPT for budgeting help,setting saving goals,Be less inclined to spend money on gifts,yes,il****@gmail.com
user_1,English Survey,2025-04-19,55–64,iglesias italy,other,no,"rent / mortgage, groceries, utilities & bills, loans or repayments",no,"anxiety, frustration, insecurity",always,I've never used one,"setting saving goals, feeling more confident and secure",Improve my overall financial situation,yes,
user_2,English Survey,2025-04-19,21–29,London,full-time worker,yes,"rent / mortgage, groceries, utilities & bills",no,"control, optimism, motivation",at christmas time,i’ve never used any,"setting saving goals, automatically tracking spending",Be able to save more money,yes,mi****@gmail.com
user_3,English Survey,2025-04-19,40–54,iran,other,no,unexpected expenses,yes,insecurity,When I feel overwhelmed by my expenses,I haven't used one yet. I'll consider it once I have a stable income that I can save and manage,setting saving goals,Avoid overspending on social outings,yes,mo****@gmail.com
user_4,English Survey,2025-04-19,30–39,usa,full-time worker,yes,"rent / mortgage, groceries, utilities & bills",yes,,,aggregated spending across different bank accounts and credit cards into one location,automatically tracking spending,Have a more positive and stress-free financial life.,no,
user_5,English Survey,2025-04-19,30–39,London,full-time worker,sometimes,"rent / mortgage, utilities & bills, unexpected expenses",no,frustration,mostly end of the month,i have never used budgeting app.,"setting saving goals, automatically tracking spending",Be able to save money consistently each month,yes,sa****@gmail.com
user_6,English Survey,2025-04-19,21–29,albia,other,sometimes,"rent / mortgage, groceries, utilities & bills, subscriptions",no,,,I prefer desktop software that works fully offline and do not require a phone or internet connection,other,Reduce unnecessary and wasteful spending,,
user_7,English Survey,2025-04-19,16–20,Albania,other,yes,"rent / mortgage, utilities & bills, leisure / going out",yes,"confusion, motivation",evening,no i didn’t,"helpful alerts and notifications, setting saving goals, automatically tracking spending",Save more money and have better awareness of how I spend it,yes,hi****@gmail.com
user_8,English Survey,2025-04-20,,,,,,,,,,,,,
user_9,English Survey,2025-04-20,21–29,"mumbai, india",student,sometimes,leisure / going out,no,"anxiety, frustration, insecurity",near the end of the money or when i get a sudden expense,no,"helpful alerts and notifications, visual graphs and insights, setting saving goals, automatically tracking spending",reduce wasteful spending,yes,cu****@gmail.com
user_10,English Survey,2025-04-21,21–29,"ottawa, canada",part-time worker,yes,"rent / mortgage, groceries, utilities & bills, subscriptions",no,"anxiety, confusion, frustration",when i spend more than i planned for the month,no i have used one,"setting saving goals, automatically tracking spending, feeling more confident and secure",to save more and know what and what i'm spending my money on,no,
user_0,Spanish Survey,2025-04-19,21–29,london,unemployed,no,supermercado,no,ansiedad,Cuando salgo,no,notificaciones útiles,Tener un trabajo,yes,r****@gmail.com
user_1,Spanish Survey,2025-04-19,40–54,London,full-time worker,yes,"alquiler / hipoteca, supermercado",no,motivación,Cuando estoy estresada,no,"metas de ahorro, seguimiento automático de gastos",Ganar más dinero,no,
user_2,Spanish Survey,2025-04-19,40–54,london,full-time worker,yes,"alquiler / hipoteca, supermercado, gastos imprevistos",no,"control, optimismo, motivación",Cuando siento ansiedad,no,"metas de ahorro, seguimiento automático de gastos, sentirse más seguro y en control",Gastar menos y ahorrar más,yes,i****@gmail.com
user_3,Spanish Survey,2025-04-20,21–29,"Madrid, Spain",full-time worker,yes,gastos imprevistos,no,,,,,,,
user_4,Spanish Survey,2025-04-21,21–29,london,full-time worker,sometimes,"alquiler / hipoteca, supermercado, servicios y facturas, préstamos o deudas, gastos imprevistos",no,"frustración, optimismo, inseguridad, motivación",Cuando hay gastos imprevistos,no,otro,Reducir gastos,no,
user_5,Spanish Survey,2025-04-24,40–54,"villa dolores, córdoba",other,sometimes,"alquiler / hipoteca, supermercado, servicios y facturas, ocio / salidas",no,"ansiedad, confusión, frustración",Siempre,no,"seguimiento automático de gastos, sentirse más seguro y en control","Separar ingresos para gastos personales, ahorros e inversiones",yes,a****@gmail.com
user_0,Italian Survey,2025-04-19,21–29,london,full-time worker,no,"tempo libero / uscite, spese impreviste",no,"ansia, confusione, frustrazione",Quando arrivo a fine mese con i soldi contati,"Sì, ho usato un'app di budgeting, ma era troppo complicata e l'ho disinstallata.","notifiche utili, obiettivi di risparmio, monitoraggio automatico delle spese, sensazione di sicurezza e controllo",Riuscire a risparmiare ogni mese per non arrivare con i soldi contati a fine mese,yes,ma****@gmail.com
user_1,Italian Survey,2025-04-19,21–29,londra,full-time worker,no,"affitto / mutuo, spesa alimentare, utenze e bollette, abbonamenti, prestiti o debiti, spese impreviste",yes,"ansia, confusione, frustrazione, insicurezza","All'inizio del mese, quando devo pagare debiti e spese fisse","Sì, ma non mi aiuta a gestire le spese.","notifiche utili, grafici e analisi visive, obiettivi di risparmio, monitoraggio automatico delle spese, sensazione di sicurezza e controllo",Non avere debiti,no,
user_2,Italian Survey,2025-04-19,55–64,"Iglesias, Sardegna",other,no,"affitto / mutuo, spesa alimentare, utenze e bollette, prestiti o debiti",no,"ansia, frustrazione, insicurezza",,"No, non l'ho mai usata",sensazione di sicurezza e controllo,,no,
user_3,Italian Survey,2025-04-19,30–39,carloforte,unemployed,sometimes,"spesa alimentare, spese impreviste",no,ansia,Abbastanza spesso,"No, non l'ho mai usata","obiettivi di risparmio, monitoraggio automatico delle spese",,yes,is****@live.com
user_4,Italian Survey,2025-04-19,55–64,cagliari sardegna,full-time worker,yes,"spesa alimentare, utenze e bollette, spese impreviste",no,motivazione,Quando ci sono spese impreviste,"No, non l'ho mai usata","grafici e analisi visive, obiettivi di risparmio, monitoraggio automatico delle spese",Aumentare il risparmio,no,
user_5,Italian Survey,2025-04-19,55–64,"Cagliari, Sardegna",full-time worker,no,"affitto / mutuo, spesa alimentare, utenze e bollette, prestiti o debiti",no,frustrazione,Non saprei,"No, non l'ho mai usata",obiettivi di risparmio,Avere uno stipendio più alto,no,
user_6,Italian Survey,2025-04-19,,,,,,,,,,,,,
user_7,Italian Survey,2025-04-19,55–64,italia,full-time worker,sometimes,"affitto / mutuo, spesa alimentare, utenze e bollette",no,controllo,In caso di spese impreviste,"No, non l'ho mai usata",altro,Estinguere il mutuo,no,
user_8,Italian Survey,2025-04-19,55–64,"Iglesias, Sardegna",retired,no,"affitto / mutuo, spesa alimentare, utenze e bollette, prestiti o debiti, spese impreviste",no,ansia,Quando arrivano spese impreviste,"No, non l'ho mai usata",obiettivi di risparmio,Avere più soldi,yes,sa****@gmail.com
